SMILES,ERed
CCc1c2c(c(NC)c3nsnc13)N(CC)CN2C,1.33
CNc1c2c(cc3nsnc13)C1CCC2C1,1.44
CCNc1c2c(cc3nsnc13)OC(C)C(CC)O2,1.5
C1COc2c3c(c4nsnc4c2C1)NCCO3,1.34
COCCOC1N(C)c2cc3nsnc3cc2N1C,0.86
CCC1COc2cc3nsnc3c(NC)c21,1.35
CNc1c2c(cc3nsnc13)N(C)CN2CCOC,1.3
CCC1Cc2c(cc(NC)c3nsnc23)O1,1.44
CCCNc1c2c(cc3nsnc13)OC(C)CO2,1.46
CC1Cc2c(cc3nsnc3c2C(C)C)O1,1.39
CCc1c2c(c(C)c3nsnc13)CCO2,1.4
CCNc1c2c(cc3nsnc13)OC(C)CO2,1.25
CCCN1CN(C)c2c1c(C)c1nsnc1c2NC,1.16
CCCNc1c2c(cc3nsnc13)N(C)CN2C,1.25
CCC1Oc2cc3nsnc3c(NC)c2OC1C,1.44
Cc1c2c(c(C)c3nsnc13)OCC2,1.39
CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,0.88
CCCOc1cc(N(C)C)c2nsnc2c1,1.36
CCN1CN(C)c2c1cc1nsnc1c2NC,1.14
CCCCc1cc(NCC)c2nsnc2c1,1.48
COc1cc2nsnc2c2c1OCCN2,1.37
CC(C)Oc1c2c(cc3nsnc13)OCC(C)O2,1.52
CCCN1CN(C)c2c1c(NC)c1nsnc1c2C,1.22
CNc1c2c(cc3nsnc13)OC(C)C(C)O2,1.49
CCNc1c2c(cc3nsnc13)OC(C)C2,1.19
CCN1c2cc3nsnc3c(OC)c2N(C)C1OC,1.25
CNc1c2c(c(C)c3nsnc13)OC(C(C)C)CO2,1.45
Cc1c2c(cc3nsnc13)OC(C)C2C,1.59
CCNc1c2c(cc3nsnc13)OC(C(C)C)CO2,1.42
CCOc1cc2nsnc2c2c1OCCN2,1.33
CCCCN1CN(CC)c2cc3nsnc3c(NC)c21,1.08
CCNc1c2c(cc3nsnc13)OCC(C(C)C)O2,1.43
CCCCN1CN(CC)c2c1cc1nsnc1c2NC,1.14
CCNc1c2c(c(C)c3nsnc13)OCC(C)O2,1.38
CCCNc1c2c(cc3nsnc13)OCC(CC)O2,1.36
CCC1Oc2c(cc3nsnc3c2C)OC1C,1.59
Cc1c2c(cc3nsnc13)OC(C)C2,1.44
CCCCNc1c2c(cc3nsnc13)N(C)CN2CC,1.11
CNc1cc2c(c3nsnc13)CCCCO2,1.32
CCCNc1c2c(cc3nsnc13)N(CCC)CN2C,1.14
CCC1Cc2c(cc3nsnc3c2C)O1,1.44
CCCNc1c2c(cc3nsnc13)OCC(C)O2,1.32
CCNc1c2c(c(C)c3nsnc13)OCC2,1.39
CCOc1cc2nsnc2c(NC)c1OC,1.51
CCCN1CN(CC)c2c1cc1nsnc1c2NC,1.16
CCN1CN(CC(C)C)c2cc3nsnc3c(NC)c21,1.09
CNc1c2c(cc3nsnc13)OC(C(C)C)CO2,1.42
COc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.15
